From	To
ENSG00000008283	F5H757
ENSG00000008283	J3KSL5
ENSG00000008283	J3QKN3
ENSG00000008283	J3QLS0
ENSG00000008283	J3QR25
ENSG00000008283	J3QRF9
ENSG00000008283	J3QRH5
ENSG00000008283	J3QS09
ENSG00000008283	J3QS47
ENSG00000008323	Q3KR16
ENSG00000008323	A0ACI8RPS8
ENSG00000008323	A0ACI8S4G0
ENSG00000008323	A0ACI8THH8
ENSG00000008323	A0ACI8THU5
ENSG00000008323	A0ACI8VBY5
ENSG00000008323	A0ACI8VBZ5
ENSG00000008323	F5H731
ENSG00000008324	Q9UHA2
ENSG00000008324	A0ACI8QN69
ENSG00000008394	P10620
ENSG00000008394	A0ACI8T2U3
ENSG00000008394	F5GX73
