source_database	source_version	evidence_role	namespace	raw_identifier	mapping_query_id	isoform_specific	occurrence_count	all_uniprot_targets	reviewed_human_targets	resolved_accession	resolution_status	resolution_reason
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000109113	ENSG00000109113	false	2	A0A0D9SG59;A0A1B0GTQ2;A0A1B0GVI6;A0A1B0GWB1;A0A1C7CYW6;A0ACI8S028;A0ACI8SAB3;A0ACI8T7Z8;A0ACI8T909;A0ACI8T920;A0ACI8V0T7;A0ACI8V625;A0ACI8V630;A0ACI8V642;A0ACI8V647;C9JBG0;C9JY26;E7ES60;H7C0Y7;J3QLC6;K7EIF2;K7EJW7;P0DI83;Q9BZG1;V9GY61	P0DI83;Q9BZG1		quarantine	multiple_reviewed_human_targets
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000130723	ENSG00000130723	false	6				quarantine	unmapped_in_pinned_uniprot_release
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000162711	ENSG00000162711	false	2	A0A2R8YEG7;A0A7I2PJH0;A0A7I2PMC6;A0A7I2PRX0;A0A7I2R3P8;A0A7I2UNQ2;A0A7I2YME5;A0ACI8V1A5			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000180259	ENSG00000180259	false	3				quarantine	unmapped_in_pinned_uniprot_release
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000213865	ENSG00000213865	false	3				quarantine	unmapped_in_pinned_uniprot_release
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000255529	ENSG00000255529	false	2	E9PP13;P0CAP2;Q6EEV4	P0CAP2;Q6EEV4		quarantine	multiple_reviewed_human_targets
Luck2020	Nature_supplement_2020-04-08	negative_evidence	Ensembl	ENSG00000282034	ENSG00000282034	false	2	A0A0C4DFX4;A0A994J4T5			quarantine	multiple_or_cross_species_targets_without_unique_human_mapping
