source_database	source_version	evidence_role	source_record_id	raw_identifier_a	raw_identifier_b	endpoint_a_status	endpoint_b_status	reason
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105401:ENSG00000234278	ENSG00000105401	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105428:ENSG00000178928	ENSG00000105428	ENSG00000178928	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105501:ENSG00000125814	ENSG00000105501	ENSG00000125814	unmapped_in_pinned_uniprot_release	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105576:ENSG00000163098	ENSG00000105576	ENSG00000163098	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105617:ENSG00000215271	ENSG00000105617	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105641:ENSG00000264343	ENSG00000105641	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105642:ENSG00000143933	ENSG00000105642	ENSG00000143933	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105642:ENSG00000160014	ENSG00000105642	ENSG00000160014	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105642:ENSG00000198668	ENSG00000105642	ENSG00000198668	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105866:ENSG00000204918	ENSG00000105866	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105866:ENSG00000204919	ENSG00000105866	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105866:ENSG00000227151	ENSG00000105866	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105866:ENSG00000229665	ENSG00000105866	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105866:ENSG00000234278	ENSG00000105866	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105991:ENSG00000212724	ENSG00000105991	ENSG00000212724	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105991:ENSG00000213417	ENSG00000105991	ENSG00000213417	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000105991:ENSG00000264343	ENSG00000105991	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106012:ENSG00000143933	ENSG00000106012	ENSG00000143933	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106012:ENSG00000160014	ENSG00000106012	ENSG00000160014	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106012:ENSG00000198668	ENSG00000106012	ENSG00000198668	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000106536	ENSG00000106123	ENSG00000106536	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000120149	ENSG00000106123	ENSG00000120149	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000145358	ENSG00000106123	ENSG00000145358	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000153060	ENSG00000106123	ENSG00000153060	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000162924	ENSG00000106123	ENSG00000162924	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000186205	ENSG00000106123	ENSG00000186205	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000196388	ENSG00000106123	ENSG00000196388	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000196628	ENSG00000106123	ENSG00000196628	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000198881	ENSG00000106123	ENSG00000198881	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106123:ENSG00000204599	ENSG00000106123	ENSG00000204599	multiple_or_cross_species_targets_without_unique_human_mapping	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106459:ENSG00000221972	ENSG00000106459	ENSG00000221972	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106459:ENSG00000222047	ENSG00000106459	ENSG00000222047	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106459:ENSG00000254827	ENSG00000106459	ENSG00000254827	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106511:ENSG00000174899	ENSG00000106511	ENSG00000174899	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106511:ENSG00000198054	ENSG00000106511	ENSG00000198054	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106511:ENSG00000270136	ENSG00000106511	ENSG00000270136	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106511:ENSG00000275895	ENSG00000106511	ENSG00000275895	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106536:ENSG00000204918	ENSG00000106536	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106536:ENSG00000204919	ENSG00000106536	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106536:ENSG00000227151	ENSG00000106536	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106536:ENSG00000229665	ENSG00000106536	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106536:ENSG00000234278	ENSG00000106536	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000106554:ENSG00000264343	ENSG00000106554	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000107187:ENSG00000161981	ENSG00000107187	ENSG00000161981	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000107281:ENSG00000212724	ENSG00000107281	ENSG00000212724	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000107281:ENSG00000213417	ENSG00000107281	ENSG00000213417	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000107281:ENSG00000264343	ENSG00000107281	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108179:ENSG00000188100	ENSG00000108179	ENSG00000188100	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108179:ENSG00000189090	ENSG00000108179	ENSG00000189090	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108179:ENSG00000276430	ENSG00000108179	ENSG00000276430	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108256:ENSG00000212724	ENSG00000108256	ENSG00000212724	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108256:ENSG00000213417	ENSG00000108256	ENSG00000213417	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108509:ENSG00000143933	ENSG00000108509	ENSG00000143933	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108509:ENSG00000160014	ENSG00000108509	ENSG00000160014	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108509:ENSG00000198668	ENSG00000108509	ENSG00000198668	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108551:ENSG00000264343	ENSG00000108551	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108946:ENSG00000118507	ENSG00000108946	ENSG00000118507	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108946:ENSG00000130363	ENSG00000108946	ENSG00000130363	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000108946:ENSG00000182230	ENSG00000108946	ENSG00000182230	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109089:ENSG00000158483	ENSG00000109089	ENSG00000158483	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109220:ENSG00000212724	ENSG00000109220	ENSG00000212724	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109220:ENSG00000213417	ENSG00000109220	ENSG00000213417	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109220:ENSG00000264343	ENSG00000109220	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109255:ENSG00000264343	ENSG00000109255	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109445:ENSG00000264343	ENSG00000109445	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000109846:ENSG00000276076	ENSG00000109846	ENSG00000276076	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000110367:ENSG00000185614	ENSG00000110367	ENSG00000185614	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000110536:ENSG00000264343	ENSG00000110536	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000110680:ENSG00000167522	ENSG00000110680	ENSG00000167522	multiple_reviewed_human_targets	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000111077:ENSG00000264343	ENSG00000111077	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000111196:ENSG00000276234	ENSG00000111196	ENSG00000276234	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000111432:ENSG00000264343	ENSG00000111432	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000111490:ENSG00000215271	ENSG00000111490	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000111859:ENSG00000264343	ENSG00000111859	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112081:ENSG00000275895	ENSG00000112081	ENSG00000275895	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112096:ENSG00000114107	ENSG00000112096	ENSG00000114107	unmapped_in_pinned_uniprot_release	accepted	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112130:ENSG00000215271	ENSG00000112130	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112164:ENSG00000264343	ENSG00000112164	ENSG00000264343	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112182:ENSG00000177125	ENSG00000112182	ENSG00000177125	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112183:ENSG00000222047	ENSG00000112183	ENSG00000222047	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112214:ENSG00000185761	ENSG00000112214	ENSG00000185761	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112237:ENSG00000282034	ENSG00000112237	ENSG00000282034	accepted	multiple_or_cross_species_targets_without_unique_human_mapping	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112305:ENSG00000204918	ENSG00000112305	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112305:ENSG00000204919	ENSG00000112305	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112305:ENSG00000227151	ENSG00000112305	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112305:ENSG00000229665	ENSG00000112305	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112305:ENSG00000234278	ENSG00000112305	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112365:ENSG00000212724	ENSG00000112365	ENSG00000212724	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112365:ENSG00000213417	ENSG00000112365	ENSG00000213417	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112511:ENSG00000204918	ENSG00000112511	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112511:ENSG00000204919	ENSG00000112511	ENSG00000204919	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112511:ENSG00000215271	ENSG00000112511	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112511:ENSG00000227151	ENSG00000112511	ENSG00000227151	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112511:ENSG00000229665	ENSG00000112511	ENSG00000229665	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112511:ENSG00000234278	ENSG00000112511	ENSG00000234278	accepted	multiple_reviewed_human_targets	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112559:ENSG00000182257	ENSG00000112559	ENSG00000182257	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112559:ENSG00000185594	ENSG00000112559	ENSG00000185594	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112559:ENSG00000197568	ENSG00000112559	ENSG00000197568	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112578:ENSG00000215271	ENSG00000112578	ENSG00000215271	accepted	unmapped_in_pinned_uniprot_release	unresolved_endpoint
HuRI	portal_2020-03-09	positive_evidence	HuRI:ENSG00000112624:ENSG00000204918	ENSG00000112624	ENSG00000204918	accepted	multiple_reviewed_human_targets	unresolved_endpoint
